Jogo,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6
1711,22,26,38,39,45,50
1712,2,12,19,29,50,59
1713,3,10,16,23,27,29
1714,2,8,24,36,51,52
1715,16,20,35,40,53,60
1716,2,25,36,41,42,53
1717,2,9,16,37,44,58
1718,4,30,31,32,47,53
1719,1,22,31,34,44,54
1720,18,23,31,39,49,57
1721,4,12,19,33,36,38
1722,9,23,39,41,49,58
1723,14,27,30,46,52,60
1724,27,33,37,39,58,60
1725,16,18,26,30,31,34
1726,3,10,42,49,54,57
1727,4,6,19,20,40,41
1728,3,8,28,39,42,59
1729,7,14,23,43,44,53
1730,1,10,17,24,42,51
1731,5,18,27,43,49,59
1732,25,34,38,45,53,60
1733,3,5,9,14,41,46
1734,12,17,25,29,41,52
1735,6,16,33,34,45,46
1736,12,13,24,29,32,41
1737,5,8,42,50,51,59
1738,12,28,37,46,48,53
1739,9,10,17,32,34,46
1740,10,15,25,38,47,53
1741,15,18,20,32,48,49
1742,11,19,21,23,27,52
1743,4,10,29,31,34,35
1744,9,12,14,29,42,56
1745,9,13,18,47,52,60
1746,6,18,37,40,41,58
1747,6,33,34,48,53,59
1748,2,10,13,41,49,53
1749,3,13,14,29,33,43
1750,15,17,20,31,41,48
1751,15,22,23,42,51,57
1752,9,36,37,53,55,60
1753,8,15,29,35,45,54
1754,20,27,30,31,40,53
1755,2,5,8,18,30,48
1756,6,13,14,28,35,45
1757,13,25,28,37,43,56
1758,6,11,16,23,36,42
1759,2,14,21,22,51,60
1760,10,24,25,36,47,48
1761,9,10,36,50,53,55
1762,26,32,42,45,55,59
1763,9,12,15,21,31,36
1764,6,7,29,39,41,55
1765,1,6,28,37,56,58
1766,22,23,41,46,53,60
1767,16,26,35,39,44,45
1768,5,7,11,34,35,50
1769,32,37,44,47,54,60
1770,11,26,27,30,34,41
1771,2,20,27,28,32,38
1772,12,19,27,39,41,45
1773,15,30,39,41,45,59
1774,1,12,20,30,52,60
1775,2,18,31,42,51,56
1776,10,11,14,19,39,48
1777,4,19,38,44,52,55
1778,4,10,38,40,45,48
1779,12,25,30,39,56,57
1780,6,20,22,31,33,34
1781,1,8,22,49,52,53
1782,6,18,34,47,52,57
1783,4,6,16,18,21,38
1784,4,15,26,30,54,55
1785,5,11,27,41,42,54
1786,2,6,8,21,25,34
1787,1,5,13,25,26,29
1788,3,13,42,45,56,59
1789,6,25,43,57,58,59
1790,11,13,26,27,28,50
1791,12,18,46,50,53,55
1792,2,16,17,18,41,47
1793,13,14,22,54,56,58
1794,1,5,34,37,40,60
1795,30,42,47,50,55,58
1796,22,23,34,48,53,54
1797,2,13,14,35,54,57
1798,2,9,23,28,45,53
1799,1,3,4,39,51,53
1800,6,11,16,19,31,56
1801,6,19,34,43,45,54
1802,2,6,13,14,17,44
1803,4,8,29,38,49,50
1804,20,21,28,48,50,59
1805,17,22,27,31,49,57
1806,11,20,35,42,55,58
1807,1,15,16,22,25,43
1808,2,14,20,25,41,45
1809,9,12,23,24,46,54
1810,1,10,25,43,50,56
1811,5,17,32,35,37,57
1812,20,23,32,34,37,45
1813,9,11,13,15,19,51
1814,9,11,27,46,51,53
1815,8,11,25,39,41,60
1816,5,10,12,22,28,46
1817,1,4,26,39,47,55
1818,2,6,10,15,53,56
1819,17,18,26,30,33,37
1820,3,19,23,27,40,45
1821,19,22,31,36,52,53
1822,1,22,26,43,50,53
1823,4,9,21,34,54,59
1824,5,6,12,19,30,60
1825,10,11,21,50,51,54
1826,17,19,32,43,48,51
1827,26,33,42,43,53,54
1828,6,11,32,40,48,59
1829,7,13,24,30,32,53
1830,3,7,29,37,54,60
1831,15,27,28,32,48,55
1832,14,34,46,47,56,57
1833,2,3,7,16,27,42
1834,2,17,22,24,48,51
1835,8,28,36,47,50,58
1836,8,15,18,45,59,60
1837,41,44,48,50,54,57
1838,5,8,24,30,57,59
1839,7,22,28,32,56,58
1840,15,17,33,41,47,48
1841,3,6,13,38,49,51
1842,16,18,22,24,34,43
1843,8,26,28,33,41,54
1844,3,4,37,39,48,50
1845,3,9,13,29,30,51
1846,6,24,26,30,34,49
1847,1,6,45,49,50,57
1848,9,40,41,50,55,58
1849,3,5,11,27,35,44
1850,23,24,32,38,40,41
1851,8,18,21,22,35,37
1852,13,17,29,45,49,50
1853,1,2,34,39,41,45
1854,25,30,31,34,43,59
1855,6,10,15,24,38,39
1856,2,9,14,22,32,37
1857,13,23,25,35,52,53
1858,22,28,30,33,55,59
1859,1,13,14,21,26,51
1860,10,30,36,40,44,60
1861,2,4,9,35,45,60
1862,2,8,35,42,49,56
1863,16,23,45,56,58,59
1864,4,5,14,37,40,60
1865,1,5,31,32,37,42
1866,14,17,36,38,44,60
1867,3,10,17,21,22,43
1868,1,5,23,25,28,31
1869,11,23,24,26,40,52
1870,18,20,30,32,33,40
1871,3,11,17,33,52,58
1872,11,13,25,39,46,56
1873,5,25,28,41,53,54
1874,10,28,37,43,44,47
1875,1,45,47,52,53,55
1876,7,18,39,41,44,51
1877,13,16,23,24,32,35
1878,12,16,26,40,56,57
1879,5,10,20,57,58,59
1880,5,16,19,37,51,56
1881,3,10,30,44,53,56
1882,9,10,19,35,37,41
1883,16,27,28,47,59,60
1884,1,4,23,32,38,59
1885,7,14,18,23,32,59
1886,3,7,15,40,45,54
1887,11,23,34,41,46,56
1888,1,10,17,18,45,48
1889,16,23,25,28,30,44
1890,5,11,22,24,51,53
1891,1,3,19,23,47,58
1892,6,17,22,30,37,50
1893,16,17,19,28,45,58
1894,21,31,35,53,54,57
1895,2,3,5,10,15,34
1896,3,6,14,15,21,25
1897,9,22,25,47,52,58
1898,12,34,45,53,55,58
1899,20,23,35,36,44,48
1900,8,11,27,28,43,46
1901,11,12,26,30,37,53
1902,2,7,9,18,21,25
1903,9,10,15,28,43,45
1904,12,15,18,21,51,56
1905,29,35,43,54,56,57
1906,6,27,33,39,40,60
1907,3,25,35,38,44,48
1908,4,10,13,23,27,57
1909,11,40,43,45,47,57
1910,6,9,15,22,39,48
1911,16,18,23,30,32,33
1912,10,13,33,35,36,42
1913,4,14,17,43,52,56
1914,16,29,33,39,42,44
1915,2,20,21,33,48,57
1916,3,9,18,23,50,52
1917,4,21,25,33,36,46
1918,16,17,20,22,38,50
1919,11,28,37,45,54,60
1920,25,31,33,39,43,45
1921,10,15,16,19,28,35
1922,20,22,36,38,41,43
1923,9,34,42,45,46,59
1924,12,16,30,52,53,58
1925,1,17,38,43,45,47
1926,2,3,14,20,30,46
1927,5,11,13,19,30,31
1928,10,26,28,51,53,59
1929,3,10,23,36,43,52
1930,4,17,18,37,52,56
